Card_Code_1,Card_Code_2,Add_Code,Add_Card_KR,Base_Damage_1,Base_Damage_2,Damage_Count,Last_Damage_Count,Fire_Effect_1,Fire_Effect_2,Elec_Effect_1,Elec_Effect_2,Captiv_Effect_1,Captiv_Effect_2,Curse_Effect_1,Curse_Effect_2,Recover_HP,Attack_Effect_Code,Explain_Up_1,Explain_Up_2,Explain_Down
C32,M11,C32M11,LV.2 솔로(2타격) + LV.1 매혹,4,0,2,0,0,0,0,0,1,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C32,V11,C32V11,LV.2 솔로(2타격) + LV.1 볼륨 업,6,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 6데미지 2~3회 공격!,기본 공격 데미지 추가!
C32,G11,C32G11,LV.2 솔로(2타격)+ LV.1 저주,4,0,2,0,0,0,0,0,0,0,1,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 약화 +3턴
C33,F11,C33F11,LV.1 솔로(3타격) + LV.1 화염,2,0,3,1,5,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+1, 3회 타격시 화상 +3턴"
C33,E11,C33E11,LV.1 솔로(3타격) + LV.1 스파크,2,0,3,2,0,0,4,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 손상 +3턴"
C33,M11,C33M11,LV.1 솔로(3타격) + LV.1 매혹,2,0,3,0,0,0,0,0,4,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C33,V11,C33V11,LV.1 솔로(3타격) + LV.1 볼륨 업,3,0,3,0,0,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 3데미지 2~3회 공격!,기본 공격 데미지 추가!
C33,G11,C33G11,LV.1 솔로(3타격) + LV.1 저주,2,0,3,0,0,0,0,0,0,0,4,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 약화 +3턴
C34,F11,C34F11,LV.2 솔로(3타격) + LV.1 화염,4,0,3,1,5,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+1, 3회 타격시 화상 +3턴"
C34,E11,C34E11,LV.2 솔로(3타격) + LV.1 스파크,4,0,3,2,0,0,4,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 손상 +3턴"
C34,M11,C34M11,LV.2 솔로(3타격) + LV.1 매혹,4,0,3,0,0,0,0,0,4,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C34,V11,C34V11,LV.2 솔로(3타격) + LV.1 볼륨 업,6,0,3,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 6데미지 2~3회 공격!,기본 공격 데미지 추가!
C34,G11,C34G11,LV.2 솔로(3타격) + LV.1 저주,4,0,3,0,0,0,0,0,0,0,4,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 약화 +3턴
C41,F11,C41F11,LV.1 하모닉 웨이브 + LV.1 화염,5,0,1,0,2,0,0,0,0,0,0,0,3,,적에게 4데미지,적에게 5데미지,체력 3회복
C41,E11,C41E11,LV.1 하모닉 웨이브 + LV.1 스파크,6,0,1,0,0,0,1,0,0,0,0,0,3,,적에게 4데미지,적에게 6데미지,체력 3회복
C41,M11,C41M11,LV.1 하모닉 웨이브 + LV.1 매혹,4,0,1,0,0,0,0,0,1,0,0,0,2,,적에게 4데미지,적에게 4데미지,체력 2회복
C41,V11,C41V11,LV.1 하모닉 웨이브 + LV.1 볼륨 업,6,0,1,0,0,0,0,0,0,0,0,0,3,,적에게 4데미지,적에게 6데미지,체력 3회복
C41,G11,C41G11,LV.1 하모닉 웨이브 + LV.1 저주,4,0,1,0,0,0,0,0,0,0,1,0,2,,적에게 4데미지,적에게 4데미지,체력 2회복
C42,F11,C42F11,LV.2 하모닉 웨이브 + LV.1 화염,7,0,1,0,2,0,0,0,0,0,0,0,4,,적에게 6데미지,적에게 7데미지,체력 4회복
C42,E11,C42E11,LV.2 하모닉 웨이브 + LV.1 스파크,8,0,1,0,0,0,1,0,0,0,0,0,4,,적에게 6데미지,적에게 8데미지,체력 4회복
C42,M11,C42M11,LV.2 하모닉 웨이브 + LV.1 매혹,6,0,1,0,0,0,0,0,1,0,0,0,3,,적에게 6데미지,적에게 6데미지,체력 3회복
C42,V11,C42V11,LV.2 하모닉 웨이브 + LV.1 볼륨 업,9,0,1,0,0,0,0,0,0,0,0,0,5,,적에게 6데미지,적에게 9데미지,체력 5회복
C42,G11,C42G11,LV.2 하모닉 웨이브 + LV.1 저주,6,0,1,0,0,0,0,0,0,0,1,0,3,,적에게 6데미지,적에게 6데미지,체력 3회복
C11,F12,C11F12,LV.1 브레이크 + LV.2 화염,8,0,1,0,3,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,적 화상 3턴 부여
C11,E12,C11E12,LV.1 브레이크 + LV.2 스파크,9,0,1,0,0,0,3,0,0,0,0,0,0,,적에게 6데미지,적에게 9데미지,적 손상 3턴 부여
C11,M12,C11M12,LV.1 브레이크 + LV.2 매혹,6,0,1,0,0,0,0,0,3,0,0,0,0,,적에게 6데미지,적에게 6데미지,적 혼란 3턴 부여
C11,V12,C11V12,LV.1 브레이크 + LV.2 볼륨 업,15,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 15데미지,공격피해 150% 상승
C11,G12,C11G12,LV.1 브레이크 + LV.2 저주,6,0,1,0,0,0,0,0,0,0,3,0,0,,적에게 6데미지,적에게 6데미지,적 약화 3턴 부여
C12,F12,C12F12,LV.2 브레이크 + LV.2 화염,12,0,1,0,3,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 12데미지,적 화상 3턴 부여
C12,E12,C12E12,LV.2 브레이크 + LV.2 스파크,13,0,1,0,0,0,3,0,0,0,0,0,0,,적에게 10데미지,적에게 13데미지,적 손상 3턴 부여
C12,M12,C12M12,LV.2 브레이크 + LV.2 매혹,10,0,1,0,0,0,0,0,3,0,0,0,0,,적에게 10데미지,적에게 10데미지,적 혼란 3턴 부여
C12,V12,C12V12,LV.2 브레이크 + LV.2 볼륨 업,25,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 25데미지,공격피해 150% 상승
C12,G12,C12G12,LV.2 브레이크 + LV.2 저주,10,0,1,0,0,0,0,0,0,0,3,0,0,,적에게 10데미지,적에게 10데미지,적 약화 3턴 부여
C21,F12,C21F12,LV.1 디스토션 + LV.2 화염,6,4,1,0,2,2,0,0,0,0,0,0,0,,적에게 4데미지,적에게 6데미지,주변 모든 적 4데미지 + 화상 2턴
C21,E12,C21E12,LV.1 디스토션 + LV.2 스파크,7,5,1,0,0,0,2,2,0,0,0,0,0,,적에게 4데미지,적에게 7데미지,주변 모든 적 5데미지 + 손상 2턴
C21,M12,C21M12,LV.1 디스토션 + LV.2 매혹,4,2,1,0,0,0,0,0,2,2,0,0,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 혼란 2턴
C21,V12,C21V12,LV.1 디스토션 + LV.2 볼륨 업,8,4,1,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지,적에게 8데미지,주변 모든 적 4데미지
C21,G12,C21G12,LV.1 디스토션 + LV.2 저주,4,2,1,0,0,0,0,0,0,0,2,2,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 약화 2턴
C22,F12,C22F12,LV.2 디스토션 + LV.2 화염,8,6,1,0,2,2,0,0,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,주변 모든 적 6데미지 + 화상 2턴
C22,E12,C22E12,LV.2 디스토션 + LV.2 스파크,9,7,1,0,0,0,2,2,0,0,0,0,0,,적에게 6데미지,적에게 9데미지,주변 모든 적 7데미지 + 손상 2턴
C22,M12,C22M12,LV.2 디스토션 + LV.2 매혹,6,4,1,0,0,0,0,0,2,2,0,0,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 혼란 2턴
C22,V12,C22V12,LV.2 디스토션 + LV.2 볼륨 업,12,8,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 12데미지,주변 모든 적 8데미지
C22,G12,C22G12,LV.2 디스토션 + LV.2 저주,6,4,1,0,0,0,0,0,0,0,2,2,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 약화 2턴
C31,F12,C31F12,LV.1 솔로(2타격) + LV.2 화염,2,0,2,2,2,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C31,E12,C31E12,LV.1 솔로(2타격) + LV.2 스파크,2,0,2,3,0,0,2,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C31,M12,C31M12,LV.1 솔로(2타격) + LV.2 매혹,2,0,2,0,0,0,0,0,2,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C31,V12,C31V12,LV.1 솔로(2타격) + LV.2 볼륨 업,4,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,기본 공격 데미지 추가!
C31,G12,C31G12,LV.1 솔로(2타격) + LV.2 저주,2,0,2,0,0,0,0,0,0,0,2,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 약화 +3턴
C32,F12,C32F12,LV.2 솔로(2타격) + LV.2 화염,4,0,2,2,2,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C32,E12,C32E12,LV.2 솔로(2타격) + LV.2 스파크,4,0,2,3,0,0,2,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C32,M12,C32M12,LV.2 솔로(2타격) + LV.2 매혹,4,0,2,0,0,0,0,0,2,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C32,V12,C32V12,LV.2 솔로(2타격) + LV.2 볼륨 업,8,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 8데미지 2~3회 공격!,기본 공격 데미지 추가!
C32,G12,C32G12,LV.2 솔로(2타격)+ LV.2 저주,4,0,2,0,0,0,0,0,0,0,2,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 약화 +3턴
C33,F12,C33F12,LV.1 솔로(3타격) + LV.2 화염,2,0,3,2,5,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C33,E12,C33E12,LV.1 솔로(3타격) + LV.2 스파크,2,0,3,3,0,0,5,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C33,M12,C33M12,LV.1 솔로(3타격) + LV.2 매혹,2,0,3,0,0,0,0,0,5,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C33,V12,C33V12,LV.1 솔로(3타격) + LV.2 볼륨 업,4,0,3,0,0,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,기본 공격 데미지 추가!
C33,G12,C33G12,LV.1 솔로(3타격) + LV.2 저주,2,0,3,0,0,0,0,0,0,0,5,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 약화 +3턴
C34,F12,C34F12,LV.2 솔로(3타격) + LV.2 화염,4,0,3,2,5,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C34,E12,C34E12,LV.2 솔로(3타격) + LV.2 스파크,4,0,3,3,0,0,5,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C34,M12,C34M12,LV.2 솔로(3타격) + LV.2 매혹,4,0,3,0,0,0,0,0,5,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C34,V12,C34V12,LV.2 솔로(3타격) + LV.2 볼륨 업,8,0,3,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 8데미지 2~3회 공격!,기본 공격 데미지 추가!
C34,G12,C34G12,LV.2 솔로(3타격) + LV.2 저주,4,0,3,0,0,0,0,0,0,0,5,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 약화 +3턴
C41,F12,C41F12,LV.1 하모닉 웨이브 + LV.2 화염,6,0,1,0,2,0,0,0,0,0,0,0,3,,적에게 4데미지,적에게 6데미지,체력 3회복
C41,E12,C41E12,LV.1 하모닉 웨이브 + LV.2 스파크,7,0,1,0,0,0,2,0,0,0,0,0,4,,적에게 4데미지,적에게 7데미지,체력 4회복
C41,M12,C41M12,LV.1 하모닉 웨이브 + LV.2 매혹,4,0,1,0,0,0,0,0,2,0,0,0,2,,적에게 4데미지,적에게 4데미지,체력 2회복
C41,V12,C41V12,LV.1 하모닉 웨이브 + LV.2 볼륨 업,8,0,1,0,0,0,0,0,0,0,0,0,4,,적에게 4데미지,적에게 8데미지,체력 4회복
C41,G12,C41G12,LV.1 하모닉 웨이브 + LV.2 저주,4,0,1,0,0,0,0,0,0,0,2,0,2,,적에게 4데미지,적에게 4데미지,체력 2회복
C42,F12,C42F12,LV.2 하모닉 웨이브 + LV.2 화염,8,0,1,0,2,0,0,0,0,0,0,0,4,,적에게 6데미지,적에게 8데미지,체력 4회복
C42,E12,C42E12,LV.2 하모닉 웨이브 + LV.2 스파크,9,0,1,0,0,0,2,0,0,0,0,0,5,,적에게 6데미지,적에게 9데미지,체력 5회복
C42,M12,C42M12,LV.2 하모닉 웨이브 + LV.2 매혹,6,0,1,0,0,0,0,0,2,0,0,0,3,,적에게 6데미지,적에게 6데미지,체력 3회복
C42,V12,C42V12,LV.2 하모닉 웨이브 + LV.2 볼륨 업,12,0,1,0,0,0,0,0,0,0,0,0,6,,적에게 6데미지,적에게 12데미지,체력 6회복
C42,G12,C42G12,LV.2 하모닉 웨이브 + LV.2 저주,6,0,1,0,0,0,0,0,0,0,2,0,3,,적에게 6데미지,적에게 6데미지,체력 3회복
C11,F1A,C11F1A,LV.1 브레이크 + 강화 LV.1 화염,8,0,1,0,4,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,적 화상 4턴 부여
C11,E1A,C11E1A,LV.1 브레이크 + 강화 LV.1 스파크,9,0,1,0,0,0,3,0,0,0,0,0,0,,적에게 6데미지,적에게 9데미지,적 손상 3턴 부여
C11,M1A,C11M1A,LV.1 브레이크 + 강화 LV.1 매혹,6,0,1,0,0,0,0,0,3,0,0,0,0,,적에게 6데미지,적에게 6데미지,적 혼란 3턴 부여
C11,V1A,C11V1A,LV.1 브레이크 + 강화 LV.1 볼륨 업,15,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 15데미지,공격피해 250% 상승
C11,G1A,C11G1A,LV.1 브레이크 + 강화 LV.1 저주,6,0,1,0,0,0,0,0,0,0,3,0,0,,적에게 6데미지,적에게 6데미지,적 약화 3턴 부여
C12,F1A,C12F1A,LV.2 브레이크 + 강화 LV.1 화염,12,0,1,0,4,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 12데미지,적 화상 4턴 부여
C12,E1A,C12E1A,LV.2 브레이크 + 강화 LV.1 스파크,13,0,1,0,0,0,3,0,0,0,0,0,0,,적에게 10데미지,적에게 13데미지,적 손상 3턴 부여
C12,M1A,C12M1A,LV.2 브레이크 + 강화 LV.1 매혹,10,0,1,0,0,0,0,0,3,0,0,0,0,,적에게 10데미지,적에게 10데미지,적 혼란 3턴 부여
C12,V1A,C12V1A,LV.2 브레이크 + 강화 LV.1 볼륨 업,25,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 25데미지,공격피해 250% 상승
C12,G1A,C12G1A,LV.2 브레이크 + 강화 LV.1 저주,10,0,1,0,0,0,0,0,0,0,3,0,0,,적에게 10데미지,적에게 10데미지,적 약화 3턴 부여
C21,F1A,C21F1A,LV.1 디스토션 + 강화 LV.1 화염,6,4,1,0,3,3,0,0,0,0,0,0,0,,적에게 4데미지,적에게 6데미지,주변 모든 적 4데미지 + 화상 3턴
C21,E1A,C21E1A,LV.1 디스토션 + 강화 LV.1 스파크,7,5,1,0,0,0,2,2,0,0,0,0,0,,적에게 4데미지,적에게 7데미지,주변 모든 적 5데미지 + 손상 2턴
C21,M1A,C21M1A,LV.1 디스토션 + 강화 LV.1 매혹,4,2,1,0,0,0,0,0,2,2,0,0,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 혼란 2턴
C21,V1A,C21V1A,LV.1 디스토션 + 강화 LV.1 볼륨 업,8,4,1,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지,적에게 8데미지,주변 모든 적 4데미지
C21,G1A,C21G1A,LV.1 디스토션 + 강화 LV.1 저주,4,2,1,0,0,0,0,0,0,0,2,2,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 약화 2턴
C22,F1A,C22F1A,LV.2 디스토션 + 강화 LV.1 화염,8,6,1,0,3,3,0,0,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,주변 모든 적 6데미지 + 화상 3턴
C22,E1A,C22E1A,LV.2 디스토션 + 강화 LV.1 스파크,9,7,1,0,0,0,2,2,0,0,0,0,0,,적에게 6데미지,적에게 9데미지,주변 모든 적 7데미지 + 손상 2턴
C22,M1A,C22M1A,LV.2 디스토션 + 강화 LV.1 매혹,6,4,1,0,0,0,0,0,2,2,0,0,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 혼란 2턴
C22,V1A,C22V1A,LV.2 디스토션 + 강화 LV.1 볼륨 업,12,8,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 12데미지,주변 모든 적 8데미지
C22,G1A,C22G1A,LV.2 디스토션 + 강화 LV.1 저주,6,4,1,0,0,0,0,0,0,0,2,2,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 약화 2턴
C31,F1A,C31F1A,LV.1 솔로(2타격) + 강화 LV.1 화염,2,0,2,2,3,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C31,E1A,C31E1A,LV.1 솔로(2타격) + 강화 LV.1 스파크,2,0,2,3,0,0,2,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C31,M1A,C31M1A,LV.1 솔로(2타격) + 강화 LV.1 매혹,2,0,2,0,0,0,0,0,2,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C31,V1A,C31V1A,LV.1 솔로(2타격) + 강화 LV.1 볼륨 업,4,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,기본 공격 데미지 추가!
C31,G1A,C31G1A,LV.1 솔로(2타격) + 강화 LV.1 저주,2,0,2,0,0,0,0,0,0,0,2,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 약화 +3턴
C32,F1A,C32F1A,LV.2 솔로(2타격) + 강화 LV.1 화염,4,0,2,2,3,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
C32,E1A,C32E1A,LV.2 솔로(2타격) + 강화 LV.1 스파크,4,0,2,3,0,0,2,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+3, 3회 타격시 손상 +3턴"
C32,M1A,C32M1A,LV.2 솔로(2타격) + 강화 LV.1 매혹,4,0,2,0,0,0,0,0,2,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C32,V1A,C32V1A,LV.2 솔로(2타격) + 강화 LV.1 볼륨 업,8,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 8데미지 2~3회 공격!,기본 공격 데미지 추가!
C32,G1A,C32G1A,LV.2 솔로(2타격)+ 강화 LV.1 저주,4,0,2,0,0,0,0,0,0,0,2,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,3회 타격시 약화 +3턴
C33,F1A,C33F1A,LV.1 솔로(3타격) + 강화 LV.1 화염,2,0,3,2,6,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 화상 +3턴"
